;Code;Composant;Description;Apparition;;Retour;;Modèle machine;Description;N. de série
;6;"Carte de Telematics
";STOP presence d'un obstacle;17/07/2024;08:37:29;17/07/2024;09:00:48;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;17/07/2024;08:41:00;17/07/2024;08:49:54;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;17/07/2024;08:54:54;17/07/2024;08:59:00;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;51, 9, -40;Carte de fonction;Unité 2 éteinte;17/07/2024;09:02:39;17/07/2024;09:11:40;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;17/07/2024;09:31:07;17/07/2024;09:36:20;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;17/07/2024;09:34:36;17/07/2024;09:36:20;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;17/07/2024;10:25:07;17/07/2024;10:27:27;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;18/07/2024;01:35:52;18/07/2024;01:40:13;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;18/07/2024;01:39:20;18/07/2024;01:40:14;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;18/07/2024;01:44:16;18/07/2024;01:52:38;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;18/07/2024;01:47:46;18/07/2024;01:52:39;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;18/07/2024;01:54:18;18/07/2024;02:19:02;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;18/07/2024;01:57:48;18/07/2024;02:19:04;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;18/07/2024;02:20:35;18/07/2024;02:20:44;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;18/07/2024;02:22:17;18/07/2024;02:26:19;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;18/07/2024;02:25:46;18/07/2024;02:25:57;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;18/07/2024;02:27:52;18/07/2024;03:26:16;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;18/07/2024;02:31:22;18/07/2024;03:25:55;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;51, 9, -40;Carte de fonction;Unité 2 éteinte;18/07/2024;05:12:46;18/07/2024;05:14:44;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;18/07/2024;08:47:56;18/07/2024;08:48:01;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;18/07/2024;10:25:28;18/07/2024;10:25:53;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;18/07/2024;10:39:06;18/07/2024;10:42:01;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;19/07/2024;00:34:56;19/07/2024;00:35:08;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;19/07/2024;00:41:17;19/07/2024;01:09:57;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;19/07/2024;00:44:46;19/07/2024;01:01:50;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;19/07/2024;01:06:50;19/07/2024;01:09:57;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;19/07/2024;02:48:13;19/07/2024;02:50:09;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;19/07/2024;02:51:42;19/07/2024;04:21:02;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;19/07/2024;02:55:11;19/07/2024;04:20:55;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;19/07/2024;07:54:08;19/07/2024;07:56:08;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;19/07/2024;10:39:01;19/07/2024;10:48:24;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;19/07/2024;10:42:30;19/07/2024;10:48:24;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;19/07/2024;11:36:59;19/07/2024;11:37:58;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;19/07/2024;11:41:34;19/07/2024;11:51:34;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;19/07/2024;11:45:04;19/07/2024;11:51:34;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;19/07/2024;12:08:51;19/07/2024;12:33:05;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;19/07/2024;12:12:21;19/07/2024;12:33:06;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;54, 1, 3;Carte de fonction;Echec parcours de naviguation 3;19/07/2024;12:33:45;19/07/2024;12:45:34;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;20/07/2024;10:39:56;20/07/2024;10:50:24;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;20/07/2024;10:43:27;20/07/2024;10:50:26;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;20/07/2024;11:52:04;20/07/2024;11:55:04;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;51, 9, -40;Carte de fonction;Unité 2 éteinte;20/07/2024;12:27:45;20/07/2024;12:30:09;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;21/07/2024;00:07:38;21/07/2024;00:07:55;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;21/07/2024;02:30:44;21/07/2024;02:53:02;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;21/07/2024;02:34:14;21/07/2024;02:53:04;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;21/07/2024;02:54:38;21/07/2024;03:27:00;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;21/07/2024;02:58:08;21/07/2024;03:27:00;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;21/07/2024;08:39:57;21/07/2024;08:49:58;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;21/07/2024;08:43:26;21/07/2024;08:49:58;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;21/07/2024;10:57:30;21/07/2024;11:11:49;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;21/07/2024;11:02:00;21/07/2024;11:11:47;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;21/07/2024;11:16:05;21/07/2024;11:23:50;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;21/07/2024;11:19:37;21/07/2024;11:23:41;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;4;"Carte de Telematics
";Niveau d'eau bas;21/07/2024;12:01:03;21/07/2024;12:54:16;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;4;"Carte de Telematics
";Niveau d'eau bas;21/07/2024;13:57:24;21/07/2024;14:04:49;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;4;"Carte de Telematics
";Niveau d'eau bas;22/07/2024;23:50:09;23/07/2024;00:13:51;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;23/07/2024;00:02:11;23/07/2024;00:02:45;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;4;"Carte de Telematics
";Niveau d'eau bas;23/07/2024;02:00:29;23/07/2024;02:03:38;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;23/07/2024;03:26:06;23/07/2024;03:50:04;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;23/07/2024;03:29:37;23/07/2024;03:34:45;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;23/07/2024;03:43:28;23/07/2024;03:44:23;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;23/07/2024;03:51:23;23/07/2024;04:07:53;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;23/07/2024;04:01:50;23/07/2024;04:06:03;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;23/07/2024;04:08:57;23/07/2024;04:31:50;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;23/07/2024;04:15:27;23/07/2024;04:20:20;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;4;"Carte de Telematics
";Niveau d'eau bas;23/07/2024;04:42:55;23/07/2024;04:50:28;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;24/07/2024;00:18:33;24/07/2024;00:19:46;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;24/07/2024;00:37:28;24/07/2024;00:38:28;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;24/07/2024;00:38:39;24/07/2024;00:39:20;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;24/07/2024;00:40:04;24/07/2024;00:41:04;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;24/07/2024;00:41:44;24/07/2024;00:44:06;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;24/07/2024;00:44:49;24/07/2024;00:49:41;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;24/07/2024;00:50:41;24/07/2024;00:56:20;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;24/07/2024;00:57:37;24/07/2024;01:04:20;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;24/07/2024;01:05:26;24/07/2024;01:07:24;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;24/07/2024;01:07:57;24/07/2024;01:10:52;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;24/07/2024;01:11:19;24/07/2024;01:14:34;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;24/07/2024;01:15:39;24/07/2024;01:21:42;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;4;"Carte de Telematics
";Niveau d'eau bas;24/07/2024;01:57:47;24/07/2024;02:05:15;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;24/07/2024;02:42:40;24/07/2024;02:44:00;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;24/07/2024;02:45:13;24/07/2024;02:48:17;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;24/07/2024;02:49:49;24/07/2024;02:56:33;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;24/07/2024;02:53:18;24/07/2024;02:54:40;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;24/07/2024;02:57:56;24/07/2024;03:13:12;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;24/07/2024;03:01:26;24/07/2024;03:11:55;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;24/07/2024;03:15:07;24/07/2024;03:47:23;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;24/07/2024;03:27:04;24/07/2024;03:28:37;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;24/07/2024;03:39:25;24/07/2024;03:47:23;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;24/07/2024;03:50:34;24/07/2024;03:52:24;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;8;"Carte de Telematics
";Niveau de batterie faible;24/07/2024;04:32:33;24/07/2024;07:25:28;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;24/07/2024;07:44:54;24/07/2024;07:49:17;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;24/07/2024;07:48:23;24/07/2024;07:49:18;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;24/07/2024;07:56:23;24/07/2024;08:05:19;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;24/07/2024;07:59:53;24/07/2024;08:05:12;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;24/07/2024;08:22:05;24/07/2024;08:48:04;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;24/07/2024;08:25:35;24/07/2024;08:47:44;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;24/07/2024;10:36:44;24/07/2024;10:37:44;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;4;"Carte de Telematics
";Niveau d'eau bas;24/07/2024;14:16:51;24/07/2024;14:24:03;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;4;"Carte de Telematics
";Niveau d'eau bas;25/07/2024;00:18:04;25/07/2024;00:26:37;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;69, 0, -19;Carte de fonction;69;25/07/2024;00:34:16;25/07/2024;00:34:33;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;69, 0, -19;Carte de fonction;69;25/07/2024;00:36:00;25/07/2024;00:36:03;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;4;"Carte de Telematics
";Niveau d'eau bas;25/07/2024;01:47:22;25/07/2024;05:35:10;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;24, 9, 101;Carte de fonction;Alarme carte traction;25/07/2024;02:05:14;25/07/2024;02:08:28;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;25/07/2024;07:57:35;25/07/2024;07:59:21;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;25/07/2024;08:18:31;25/07/2024;08:24:42;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;25/07/2024;08:21:59;25/07/2024;08:24:15;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;25/07/2024;08:37:14;25/07/2024;08:37:39;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;4;"Carte de Telematics
";Niveau d'eau bas;25/07/2024;10:17:29;25/07/2024;12:12:43;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;25/07/2024;13:32:33;25/07/2024;13:33:13;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;4;"Carte de Telematics
";Niveau d'eau bas;25/07/2024;23:43:38;26/07/2024;00:34:00;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;24, 9, 101;Carte de fonction;Alarme carte traction;25/07/2024;23:58:10;26/07/2024;00:26:44;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;4;"Carte de Telematics
";Niveau d'eau bas;26/07/2024;02:04:19;26/07/2024;04:46:47;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;51, 9, -40;Carte de fonction;Unité 2 éteinte;26/07/2024;04:51:15;26/07/2024;04:51:21;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;26/07/2024;23:03:18;26/07/2024;23:09:38;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;26/07/2024;23:06:47;26/07/2024;23:09:39;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;6;"Carte de Telematics
";STOP presence d'un obstacle;26/07/2024;23:11:12;26/07/2024;23:15:11;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;73, 9, -14;Carte de fonction;Nettoyage arrete depuis trop de temps;26/07/2024;23:14:42;26/07/2024;23:15:12;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;24, 9, 101;Carte de fonction;Alarme carte traction;26/07/2024;23:47:04;26/07/2024;23:48:26;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;24, 9, 101;Carte de fonction;Alarme carte traction;26/07/2024;23:49:10;26/07/2024;23:50:49;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;51, 9, -40;Carte de fonction;Unité 2 éteinte;26/07/2024;23:52:16;26/07/2024;23:52:24;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;66, 9, -33;Carte de fonction;Time out verin de brosse;26/07/2024;23:52:36;26/07/2024;23:52:43;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;54, 1, 3;Carte de fonction;Echec parcours de naviguation 3;27/07/2024;00:22:20;27/07/2024;00:22:49;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
;54, 1, 3;Carte de fonction;Echec parcours de naviguation 3;27/07/2024;00:24:29;27/07/2024;00:26:50;Robot Quartz;FLP Atalian R-Q 80 03 5722 T2F;2022005722
